1 ECON 3810chfr 2011: overall = 5.00, workload = 0.00, difficulty = 0.00
366 ECON 2142 2010: overall = 3.75, workload = 2.42, difficulty = 4.00
367 ECON 2060 2006: overall = 4.07, workload = 3.00, difficulty = 3.36
368 ECON 10 2012: overall = 3.28, workload = 2.50, difficulty = 3.41
369 ECON 975 2006: overall = 4.00, workload = 2.78, difficulty = 3.67
370 ECON 2390c 2006: overall = 3.67, workload = 3.00, difficulty = 3.00
371 ECON 2120 2007: overall = 4.25, workload = 2.75, difficulty = 4.00
372 ECON 2412b 2011: overall = 4.50, workload = 3.50, difficulty = 3.00
373 ECON 2142 2008: overall = 3.62, workload = 2.38, difficulty = 4.00
374 ECON 2535 2009: overall = 4.43, workload = 3.25, difficulty = 3.38
375 ECON 2810a 2006: overall = 3.33, workload = 2.56, difficulty = 3.44
376 ECON 2020b 2006: overall = 4.57, workload = 3.17, difficulty = 3.67
377 ECON 2725 2011: overall = 4.60, workload = 3.60, difficulty = 3.00
378 ECON 2530b 2011: overall = 5.00, workload = 3.25, difficulty = 4.00
379 ECON 2610 2009: overall = 4.09, workload = 2.82, difficulty = 3.82
380 ECON 2725 2008: overall = 3.62, workload = 2.88, difficulty = 3.25
381 ECON 2770hf 2010: overall = 3.50, workload = 3.00, difficulty = 3.00
382 ECON 985m 2012: overall = 4.10, workload = 3.00, difficulty = 3.60
383 ECON 1011b 2008: overall = 3.46, workload = 2.67, difficulty = 3.52
384 ECON 2390b 2009: overall = 3.14, workload = 2.71, difficulty = 3.14
385 ECON 1723 2010: overall = 3.58, workload = 2.55, difficulty = 3.85
386 ECON 1936 2011: overall = 4.20, workload = 2.80, difficulty = 4.07
387 ECON 2010c 2012: overall = 4.04, workload = 3.04, difficulty = 3.52
388 ECON 2530a 2006: overall = 4.10, workload = 3.10, difficulty = 3.50
389 ECON 2465 2010: overall = 5.00, workload = 3.50, difficulty = 3.75
390 ECON 2140 2008: overall = 3.93, workload = 3.04, difficulty = 3.46
391 ECON 2530b 2008: overall = 4.00, workload = 3.14, difficulty = 3.38
392 ECON 1123 2006: overall = 2.02, workload = 2.02, difficulty = 3.27
393 ECON 2725 2007: overall = 3.12, workload = 3.00, difficulty = 2.75
394 ECON 2723 2007: overall = 4.57, workload = 3.17, difficulty = 3.92
395 ECON 2120 2006: overall = 3.46, workload = 2.69, difficulty = 3.62
396 ECON 2010d 2010: overall = 3.76, workload = 2.88, difficulty = 3.62
397 ECON 985p 2012: overall = 3.29, workload = 2.79, difficulty = 3.31
398 ECON 2530b 2009: overall = 4.00, workload = 3.00, difficulty = 3.67
399 ECON 2530a 2008: overall = 4.00, workload = 3.00, difficulty = 3.67
400 ECON 2010d 2006: overall = 3.33, workload = 3.00, difficulty = 3.00
401 ECON 2052 2006: overall = 4.33, workload = 3.00, difficulty = 4.00
402 ECON 1011a 2006: overall = 3.77, workload = 2.64, difficulty = 4.05
403 ECON 2140 2007: overall = 4.25, workload = 3.20, difficulty = 3.60
404 ECON 2020a 2009: overall = 3.72, workload = 2.83, difficulty = 3.69
405 ECON 975 2011: overall = 2.40, workload = 2.00, difficulty = 3.80
406 ECON 2010c 2010: overall = 3.50, workload = 2.87, difficulty = 3.45
407 ECON 2010b 2010: overall = 3.93, workload = 3.03, difficulty = 3.63
408 ECON 2535 2007: overall = 5.00, workload = 3.75, difficulty = 3.50
409 ECON 1642 2012: overall = 3.67, workload = 2.67, difficulty = 4.00
410 ECON 1011b 2011: overall = 3.08, workload = 2.55, difficulty = 3.63
411 ECON 2670 2007: overall = 3.75, workload = 3.43, difficulty = 2.86
412 ECON 2020a 2007: overall = 4.00, workload = 3.09, difficulty = 3.68
413 ECON 1460 2011: overall = 4.75, workload = 3.50, difficulty = 3.75
414 ECON 2723 2010: overall = 4.54, workload = 3.23, difficulty = 4.00
415 ECON 2010d 2007: overall = 3.50, workload = 3.00, difficulty = 3.36
416 ECON 2010c 2011: overall = 3.60, workload = 3.05, difficulty = 3.38
417 ECON 2530b 2007: overall = 3.00, workload = 2.80, difficulty = 3.20
418 ECON 2120 2011: overall = 3.91, workload = 3.09, difficulty = 3.63
419 ECON 2530a 2007: overall = 4.62, workload = 3.38, difficulty = 3.88
420 ECON 2120 2009: overall = 4.20, workload = 3.27, difficulty = 3.65
421 ECON 1011a 2011: overall = 3.95, workload = 2.79, difficulty = 4.20
422 ECON 1123 2012: overall = 2.45, workload = 2.37, difficulty = 3.40
423 ECON 2120 2007: overall = 4.19, workload = 3.19, difficulty = 3.78
424 ECON 2140 2006: overall = 3.95, workload = 3.35, difficulty = 3.29
425 ECON 2052 2007: overall = 4.22, workload = 2.89, difficulty = 4.33
426 ECON 2020b 2008: overall = 3.81, workload = 3.00, difficulty = 3.75
427 ECON 2140 2009: overall = 3.96, workload = 3.27, difficulty = 3.48
428 ECON 2146 2009: overall = 4.40, workload = 3.33, difficulty = 3.83
429 ECON 2120 2008: overall = 2.97, workload = 2.86, difficulty = 3.19
430 ECON 2059 2010: overall = 4.29, workload = 3.17, difficulty = 4.00
431 ECON 2530b 2006: overall = 4.00, workload = 3.43, difficulty = 3.29
432 ECON 1530 2007: overall = 2.30, workload = 2.33, difficulty = 3.44
433 ECON 1723 2009: overall = 3.30, workload = 2.63, difficulty = 3.94
434 ECON 2110 2008: overall = 4.30, workload = 3.15, difficulty = 4.15
435 ECON 2530a 2010: overall = 4.17, workload = 3.17, difficulty = 4.00
436 ECON 1723 2006: overall = 3.66, workload = 2.77, difficulty = 4.18
437 ECON 1816 2010: overall = 4.44, workload = 3.22, difficulty = 4.22
438 ECON 975 2007: overall = 3.89, workload = 3.11, difficulty = 3.89
439 ECON 2020a 2010: overall = 3.43, workload = 2.87, difficulty = 3.83
440 ECON 2530a 2012: overall = 4.29, workload = 3.29, difficulty = 4.00
441 ECON 2010d 2011: overall = 3.89, workload = 3.22, difficulty = 3.74
442 ECON 2110 2007: overall = 4.50, workload = 3.50, difficulty = 3.91
443 ECON 2020b 2007: overall = 4.45, workload = 3.30, difficulty = 4.20
444 ECON 1011a 2008: overall = 3.59, workload = 2.84, difficulty = 4.11
445 ECON 2020a 2012: overall = 4.03, workload = 3.29, difficulty = 3.81
446 ECON 1530 2008: overall = 2.57, workload = 2.30, difficulty = 4.00
447 ECON 1123 2010: overall = 3.05, workload = 2.71, difficulty = 3.80
448 ECON 2020a 2008: overall = 4.21, workload = 3.32, difficulty = 3.95
449 ECON 1011a 2009: overall = 3.25, workload = 2.69, difficulty = 4.08
450 ECON 2723 2011: overall = 4.56, workload = 3.56, difficulty = 3.94
451 ECON 2120 2010: overall = 3.79, workload = 3.21, difficulty = 3.76
452 ECON 2120 2010: overall = 4.00, workload = 3.00, difficulty = 4.33
453 ECON 2010c 2007: overall = 3.94, workload = 3.33, difficulty = 3.73
454 ECON 2140 2010: overall = 4.12, workload = 3.45, difficulty = 3.72
455 ECON 2010b 2009: overall = 4.03, workload = 3.39, difficulty = 3.76
456 ECON 2010b 2011: overall = 4.17, workload = 3.50, difficulty = 3.77
457 ECON 975 2009: overall = 4.50, workload = 3.62, difficulty = 4.00
458 ECON 2020a 2011: overall = 3.68, workload = 3.10, difficulty = 4.05
459 ECON 2020b 2011: overall = 3.47, workload = 2.94, difficulty = 4.12
460 ECON 2723 2008: overall = 3.86, workload = 3.43, difficulty = 3.71
461 ECON 1052 2009: overall = 4.06, workload = 3.38, difficulty = 4.00
462 ECON 975 2008: overall = 4.50, workload = 3.50, difficulty = 4.25
463 ECON 1126 2008: overall = 2.33, workload = 2.47, difficulty = 3.80
464 ECON 2530a 2009: overall = 4.27, workload = 3.36, difficulty = 4.27
465 ECON 2010c 2009: overall = 3.80, workload = 3.42, difficulty = 3.70
466 ECON 2010b 2007: overall = 3.75, workload = 3.35, difficulty = 3.80
467 ECON 2010c 2006: overall = 3.64, workload = 3.31, difficulty = 3.77
468 ECON 2020a 2006: overall = 4.27, workload = 3.56, difficulty = 4.00
469 ECON 2327 2007: overall = 4.00, workload = 4.00, difficulty = 3.00
470 ECON 2680 2009: overall = 3.33, workload = 3.33, difficulty = 3.50
471 ECON 2010d 2009: overall = 3.32, workload = 3.20, difficulty = 3.72
472 ECON 1642 2011: overall = 4.67, workload = 3.67, difficulty = 4.33
473 ECON 2610 2006: overall = 3.50, workload = 3.17, difficulty = 4.00
474 ECON 1052 2012: overall = 3.58, workload = 3.15, difficulty = 4.12
475 ECON 985n 2012: overall = 3.43, workload = 3.14, difficulty = 4.00
476 ECON 2010a 2012: overall = 4.06, workload = 3.56, difficulty = 3.94
477 ECON 2610 2012: overall = 4.23, workload = 3.58, difficulty = 4.08
478 ECON 2010a 2010: overall = 4.16, workload = 3.61, difficulty = 3.97
479 ECON 1011a 2010: overall = 3.75, workload = 3.16, difficulty = 4.33
480 ECON 2610 2011: overall = 4.00, workload = 3.53, difficulty = 4.06
481 ECON 1126 2009: overall = 3.06, workload = 2.94, difficulty = 4.11
482 ECON 1126 2010: overall = 3.33, workload = 3.11, difficulty = 4.11
483 ECON 2110 2010: overall = 3.15, workload = 3.10, difficulty = 3.95
484 ECON 2110 2011: overall = 3.25, workload = 3.21, difficulty = 3.88
485 ECON 2010b 2008: overall = 4.00, workload = 3.66, difficulty = 3.88
486 ECON 2390b 2006: overall = 4.25, workload = 3.75, difficulty = 4.00
487 ECON 2010a 2011: overall = 4.03, workload = 3.76, difficulty = 3.82
488 ECON 2149 2007: overall = 4.75, workload = 4.25, difficulty = 3.75
489 ECON 2010c 2008: overall = 3.59, workload = 3.69, difficulty = 3.62
490 ECON 2010d 2008: overall = 3.50, workload = 3.62, difficulty = 3.65
491 ECON 2110 2006: overall = 2.05, workload = 2.74, difficulty = 3.68
492 ECON 2010b 2006: overall = 3.80, workload = 3.60, difficulty = 4.00
493 ECON 1011a 2012: overall = 3.68, workload = 3.27, difficulty = 4.44
494 ECON 1126 2006: overall = 2.10, workload = 2.52, difficulty = 4.14
495 ECON 2142 2006: overall = 4.00, workload = 3.50, difficulty = 4.50
496 ECON 2052 2008: overall = 4.75, workload = 4.00, difficulty = 4.42
497 ECON 2812hf 2011: overall = 4.33, workload = 4.00, difficulty = 4.00
498 ECON 2110 2009: overall = 3.74, workload = 3.74, difficulty = 3.94
499 ECON 2052 2010: overall = 4.83, workload = 4.33, difficulty = 4.17
500 ECON 2610 2007: overall = 3.62, workload = 3.75, difficulty = 4.00
501 ECON 2610 2010: overall = 4.18, workload = 4.09, difficulty = 4.09
502 ECON 1415 2012: overall = 3.00, workload = 4.12, difficulty = 3.12
503 ECON 2010a 2007: overall = 2.89, workload = 3.50, difficulty = 4.06
504 ECON 2010a 2008: overall = 3.38, workload = 4.00, difficulty = 3.93
505 ECON 2010a 2006: overall = 3.00, workload = 3.81, difficulty = 4.05
506 ECON 2010a 2009: overall = 3.73, workload = 4.24, difficulty = 4.16
507 ECON 2110 2012: overall = 2.31, workload = 3.54, difficulty = 4.25
508 ECON 2052 2009: overall = 4.43, workload = 4.57, difficulty = 4.86
